review_id,product_name,review_text,rating,sentiment
R087,Headphones,The headphones are fine for casual listening but lack bass.,3,Neutral
R088,Phone,"The phone is decent, but there are better options at this price range.",3,Neutral
R089,Camera,"The camera captures stunning images, even in low light conditions.",4,Positive
R090,Tablet,The tablet works well but feels a bit overpriced.,3,Neutral
R091,Phone,The phone lags frequently and the battery drains too fast.,2,Negative
R092,Laptop,The laptop is okay for its price but lacks advanced features.,3,Neutral
R093,Laptop,The laptop performs exceptionally well with great battery life and a sleek design.,5,Positive
R094,Headphones,"The headphones stopped working after a month, very poor durability.",1,Negative
R095,Phone,"The phone is decent, but there are better options at this price range.",3,Neutral
R096,Camera,The camera works fine for beginners but not suitable for professionals.,3,Neutral
R097,Laptop,"The laptop runs too slow and heats up quickly, very disappointing experience.",2,Negative
R098,Laptop,The laptop performs exceptionally well with great battery life and a sleek design.,5,Positive
R099,Phone,"The phone is decent, but there are better options at this price range.",3,Neutral
R100,Phone,"The phone is decent, but there are better options at this price range.",3,Neutral
